timestamp,message,logStreamName
1762298727613,2025/11/04 23:25:27 Worker started. Polling SQS for messages...,ip-10-0-130-216.ec2.internal
1762298857116,2025/11/04 23:27:37 Processing video ID: 8,ip-10-0-130-216.ec2.internal
1762298857116,2025/11/04 23:27:37 [Video 8] Started processing at: 2025-11-04T23:27:37Z,ip-10-0-130-216.ec2.internal
1762298926116,2025/11/04 23:28:46 [Video 8] Completed processing at: 2025-11-04T23:28:46Z (Duration: 1m8.99968479s),ip-10-0-130-216.ec2.internal
1762299756604,2025/11/04 23:42:36 Worker started. Polling SQS for messages...,ip-10-0-141-186.ec2.internal
1762300007185,2025/11/04 23:46:47 Worker started. Polling SQS for messages...,ip-10-0-142-182.ec2.internal
1762300107460,2025/11/04 23:48:27 Processing video ID: 9,ip-10-0-142-182.ec2.internal
1762300107460,2025/11/04 23:48:27 [Video 9] Started processing at: 2025-11-04T23:48:27Z,ip-10-0-142-182.ec2.internal
1762300179776,2025/11/04 23:49:39 [Video 9] Completed processing at: 2025-11-04T23:49:39Z (Duration: 1m12.317096092s),ip-10-0-142-182.ec2.internal
1762302037699,2025/11/05 00:20:37 Worker started. Polling SQS for messages...,ip-10-0-131-60.ec2.internal
1762302378030,2025/11/05 00:26:18 Processing video ID: 10,ip-10-0-131-60.ec2.internal
1762302378030,2025/11/05 00:26:18 [Video 10] Started processing at: 2025-11-05T00:26:18Z,ip-10-0-131-60.ec2.internal
1762302456393,2025/11/05 00:27:36 [Video 10] Completed processing at: 2025-11-05T00:27:36Z (Duration: 1m18.362813974s),ip-10-0-131-60.ec2.internal
1762306882502,2025/11/05 01:41:22 Processing video ID: 11,ip-10-0-131-60.ec2.internal
1762306882502,2025/11/05 01:41:22 [Video 11] Started processing at: 2025-11-05T01:41:22Z,ip-10-0-131-60.ec2.internal
1762306949886,2025/11/05 01:42:29 [Video 11] Completed processing at: 2025-11-05T01:42:29Z (Duration: 1m7.384060797s),ip-10-0-131-60.ec2.internal
1762307492802,2025/11/05 01:51:32 Processing video ID: 12,ip-10-0-131-60.ec2.internal
1762307492802,2025/11/05 01:51:32 [Video 12] Started processing at: 2025-11-05T01:51:32Z,ip-10-0-131-60.ec2.internal
1762307559754,2025/11/05 01:52:39 [Video 12] Completed processing at: 2025-11-05T01:52:39Z (Duration: 1m6.951568654s),ip-10-0-131-60.ec2.internal
1762307559823,2025/11/05 01:52:39 Processing video ID: 14,ip-10-0-131-60.ec2.internal
1762307559823,2025/11/05 01:52:39 [Video 14] Started processing at: 2025-11-05T01:52:39Z,ip-10-0-131-60.ec2.internal
1762307626732,2025/11/05 01:53:46 [Video 14] Completed processing at: 2025-11-05T01:53:46Z (Duration: 1m6.908993332s),ip-10-0-131-60.ec2.internal
1762307626766,2025/11/05 01:53:46 Processing video ID: 16,ip-10-0-131-60.ec2.internal
1762307626766,2025/11/05 01:53:46 [Video 16] Started processing at: 2025-11-05T01:53:46Z,ip-10-0-131-60.ec2.internal
1762307693554,2025/11/05 01:54:53 [Video 16] Completed processing at: 2025-11-05T01:54:53Z (Duration: 1m6.787539968s),ip-10-0-131-60.ec2.internal
1762307693593,2025/11/05 01:54:53 Processing video ID: 17,ip-10-0-131-60.ec2.internal
1762307693593,2025/11/05 01:54:53 [Video 17] Started processing at: 2025-11-05T01:54:53Z,ip-10-0-131-60.ec2.internal
1762307760457,2025/11/05 01:56:00 [Video 17] Completed processing at: 2025-11-05T01:56:00Z (Duration: 1m6.864310533s),ip-10-0-131-60.ec2.internal
1762307760490,2025/11/05 01:56:00 Processing video ID: 18,ip-10-0-131-60.ec2.internal
1762307760490,2025/11/05 01:56:00 [Video 18] Started processing at: 2025-11-05T01:56:00Z,ip-10-0-131-60.ec2.internal
1762307760686,2025/11/05 01:56:00 Worker started. Polling SQS for messages...,ip-10-0-138-87.ec2.internal
1762307760866,2025/11/05 01:56:00 Processing video ID: 15,ip-10-0-138-87.ec2.internal
1762307760866,2025/11/05 01:56:00 [Video 15] Started processing at: 2025-11-05T01:56:00Z,ip-10-0-138-87.ec2.internal
1762307827804,2025/11/05 01:57:07 [Video 18] Completed processing at: 2025-11-05T01:57:07Z (Duration: 1m7.313598408s),ip-10-0-131-60.ec2.internal
1762307827834,2025/11/05 01:57:07 Processing video ID: 20,ip-10-0-131-60.ec2.internal
1762307827834,2025/11/05 01:57:07 [Video 20] Started processing at: 2025-11-05T01:57:07Z,ip-10-0-131-60.ec2.internal
1762307838798,2025/11/05 01:57:18 [Video 15] Completed processing at: 2025-11-05T01:57:18Z (Duration: 1m17.931772177s),ip-10-0-138-87.ec2.internal
1762307838832,2025/11/05 01:57:18 Processing video ID: 21,ip-10-0-138-87.ec2.internal
1762307838832,2025/11/05 01:57:18 [Video 21] Started processing at: 2025-11-05T01:57:18Z,ip-10-0-138-87.ec2.internal
1762307894673,2025/11/05 01:58:14 [Video 20] Completed processing at: 2025-11-05T01:58:14Z (Duration: 1m6.838991573s),ip-10-0-131-60.ec2.internal
1762307894807,2025/11/05 01:58:14 Processing video ID: 24,ip-10-0-131-60.ec2.internal
1762307894807,2025/11/05 01:58:14 [Video 24] Started processing at: 2025-11-05T01:58:14Z,ip-10-0-131-60.ec2.internal
1762307908032,2025/11/05 01:58:28 [Video 21] Completed processing at: 2025-11-05T01:58:28Z (Duration: 1m9.199266719s),ip-10-0-138-87.ec2.internal
1762307908055,2025/11/05 01:58:28 Processing video ID: 26,ip-10-0-138-87.ec2.internal
1762307908055,2025/11/05 01:58:28 [Video 26] Started processing at: 2025-11-05T01:58:28Z,ip-10-0-138-87.ec2.internal
1762307961690,2025/11/05 01:59:21 [Video 24] Completed processing at: 2025-11-05T01:59:21Z (Duration: 1m6.883382325s),ip-10-0-131-60.ec2.internal
1762307961731,2025/11/05 01:59:21 Processing video ID: 22,ip-10-0-131-60.ec2.internal
1762307961732,2025/11/05 01:59:21 [Video 22] Started processing at: 2025-11-05T01:59:21Z,ip-10-0-131-60.ec2.internal
1762307978688,2025/11/05 01:59:38 [Video 26] Completed processing at: 2025-11-05T01:59:38Z (Duration: 1m10.633040361s),ip-10-0-138-87.ec2.internal
1762307978720,2025/11/05 01:59:38 Processing video ID: 33,ip-10-0-138-87.ec2.internal
1762307978720,2025/11/05 01:59:38 [Video 33] Started processing at: 2025-11-05T01:59:38Z,ip-10-0-138-87.ec2.internal
1762308028811,2025/11/05 02:00:28 [Video 22] Completed processing at: 2025-11-05T02:00:28Z (Duration: 1m7.079062676s),ip-10-0-131-60.ec2.internal
1762308028843,2025/11/05 02:00:28 Processing video ID: 25,ip-10-0-131-60.ec2.internal
1762308028843,2025/11/05 02:00:28 [Video 25] Started processing at: 2025-11-05T02:00:28Z,ip-10-0-131-60.ec2.internal
